,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.590951,0.586405,0.586303,0.585469,0.583122,0.524246
Privileged Favorable,0.665369,0.669837,0.671249,0.679719,0.620514,0.509323
Unprivileged Favorable,0.554127,0.550255,0.549375,0.54757,0.550883,0.50599
Unprivileged Unfavorable,0.938418,0.93151,0.94117,0.932711,0.938453,0.804411
Privileged Unfavorable,0.967816,0.975012,0.971094,0.963288,0.920308,0.854364
