,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.720315,0.718516,0.715587,0.71328,0.703903,0.599747
Privileged Favorable,0.803941,0.797324,0.795067,0.794467,0.767599,0.697712
Unprivileged Favorable,0.712215,0.721368,0.712626,0.716804,0.716159,0.558965
Unprivileged Unfavorable,0.704385,0.690159,0.689252,0.680397,0.675541,0.62096
Privileged Unfavorable,0.691858,0.698432,0.704074,0.698792,0.696536,0.55212
