,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.502779,0.501744,0.499492,0.499234,0.500952,0.500191
Privileged Favorable,0.498898,0.503699,0.495815,0.495293,0.504117,0.494864
Unprivileged Favorable,0.507031,0.490523,0.48484,0.509992,0.506108,0.497738
Unprivileged Unfavorable,0.490078,0.508022,0.492456,0.498718,0.502043,0.496522
Privileged Unfavorable,0.503757,0.501604,0.500754,0.500429,0.499967,0.501341
