,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.655687,0.672783,0.664523,0.661838,0.651378,0.699968
Privileged Favorable,0.606374,0.639626,0.603273,0.611645,0.592213,0.646155
Unprivileged Favorable,0.614141,0.663799,0.607346,0.589514,0.599095,0.670009
Unprivileged Unfavorable,0.764033,0.724006,0.770565,0.764298,0.786579,0.780126
Privileged Unfavorable,0.739217,0.710852,0.77721,0.785535,0.751163,0.790713
