,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.585483,0.589189,0.578407,0.572828,0.578881,0.582544
Privileged Favorable,0.62984,0.639333,0.621943,0.637353,0.60872,0.62217
Unprivileged Favorable,0.588655,0.581996,0.581487,0.567344,0.577927,0.569052
Unprivileged Unfavorable,0.579335,0.585203,0.570526,0.567121,0.577852,0.59893
Privileged Unfavorable,0.571509,0.588513,0.568147,0.570003,0.568175,0.548114
