,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.583619,0.586728,0.580212,0.581617,0.590783,0.571862
Privileged Favorable,0.616859,0.589862,0.605714,0.610117,0.61899,0.632174
Unprivileged Favorable,0.578088,0.594158,0.574593,0.578982,0.59225,0.539998
Unprivileged Unfavorable,0.578075,0.585721,0.581747,0.576273,0.580027,0.587543
Privileged Unfavorable,0.577424,0.572607,0.569516,0.575892,0.589042,0.557066
