,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.523608,0.519129,0.521312,0.529078,0.525413,0.537767
Privileged Favorable,0.614385,0.56598,0.580593,0.609974,0.612323,0.645325
Unprivileged Favorable,0.641629,0.596893,0.633253,0.621122,0.606771,0.691542
Unprivileged Unfavorable,0.544296,0.553302,0.544015,0.561492,0.562129,0.610397
Privileged Unfavorable,0.510631,0.510335,0.511585,0.51579,0.512125,0.518108
