,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.505031,0.499344,0.500279,0.503614,0.500956,0.502422
Privileged Favorable,0.50571,0.500708,0.500375,0.503632,0.501148,0.50035
Unprivileged Favorable,0.503004,0.495893,0.499838,0.50187,0.501772,0.503446
Unprivileged Unfavorable,0.533145,0.480425,0.494751,0.502207,0.49567,0.512354
Privileged Unfavorable,0.493602,0.504296,0.490112,0.502412,0.48538,0.501288
