,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.519628,0.520513,0.521324,0.519661,0.521867,0.527491
Privileged Favorable,0.5326,0.524052,0.5333,0.549387,0.539559,0.546735
Unprivileged Favorable,0.506372,0.510143,0.509047,0.509589,0.510361,0.518594
Unprivileged Unfavorable,0.684594,0.670918,0.688513,0.677955,0.691389,0.703523
Privileged Unfavorable,0.684656,0.758545,0.717898,0.685653,0.650681,0.718999
