,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.517361,0.516677,0.514484,0.514834,0.516045,0.511797
Privileged Favorable,0.535688,0.523107,0.522174,0.524231,0.52308,0.523245
Unprivileged Favorable,0.792003,0.732677,0.75567,0.797247,0.862439,0.565654
Unprivileged Unfavorable,0.532888,0.539036,0.540988,0.521952,0.519241,0.504519
Privileged Unfavorable,0.508936,0.510816,0.505872,0.507365,0.509304,0.516589
