,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.50094,0.502416,0.501348,0.504594,0.499404,0.499851
Privileged Favorable,0.501509,0.50141,0.500983,0.505763,0.498111,0.496756
Unprivileged Favorable,0.498498,0.500596,0.500464,0.504175,0.499154,0.503803
Unprivileged Unfavorable,0.529368,0.515407,0.496358,0.502212,0.492283,0.503833
Privileged Unfavorable,0.493151,0.530166,0.509432,0.492246,0.507355,0.497609
