,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.514066,0.513536,0.515686,0.517922,0.517845,0.505869
Privileged Favorable,0.526,0.527288,0.527976,0.52989,0.525374,0.516364
Unprivileged Favorable,0.541479,0.53097,0.529339,0.543571,0.548382,0.51794
Unprivileged Unfavorable,0.52042,0.511518,0.517122,0.510539,0.513564,0.504789
Privileged Unfavorable,0.502857,0.507676,0.509854,0.510248,0.509296,0.510474
