,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.497688,0.501218,0.499804,0.499787,0.499226,0.500487
Privileged Favorable,0.499297,0.498879,0.500438,0.515398,0.513469,0.50229
Unprivileged Favorable,0.50006,0.501913,0.499747,0.500168,0.499112,0.500602
Unprivileged Unfavorable,0.503213,0.49121,0.49286,0.482468,0.49434,0.496357
Privileged Unfavorable,0.463796,0.485988,0.505221,0.545216,0.485505,0.508593
