,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.590849,0.563849,0.544934,0.589491,0.578313,0.524972
Privileged Favorable,0.760924,0.690709,0.654396,0.768256,0.762043,0.602625
Unprivileged Favorable,0.852826,0.760568,0.722562,0.842527,0.744803,0.626974
Unprivileged Unfavorable,0.702055,0.717304,0.569085,0.707869,0.610281,0.561859
Privileged Unfavorable,0.547173,0.52906,0.525404,0.543326,0.543273,0.509814
