,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.500697,0.500258,0.499639,0.499464,0.499353,0.501049
Privileged Favorable,0.50334,0.504164,0.508546,0.507564,0.495565,0.502438
Unprivileged Favorable,0.49911,0.531629,0.505557,0.527647,0.493415,0.489743
Unprivileged Unfavorable,0.493579,0.485657,0.504855,0.501844,0.505452,0.492576
Privileged Unfavorable,0.499808,0.499568,0.498046,0.497715,0.500157,0.501666
