,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.498062,0.503988,0.500299,0.502881,0.503468,0.493641
Privileged Favorable,0.495207,0.500531,0.488298,0.503002,0.500939,0.515494
Unprivileged Favorable,0.492685,0.506639,0.504433,0.500021,0.498262,0.490186
Unprivileged Unfavorable,0.500897,0.503072,0.49761,0.502547,0.507563,0.49353
Privileged Unfavorable,0.501169,0.508805,0.498717,0.506082,0.495784,0.49719
