,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.500877,0.499807,0.5003,0.500258,0.498833,0.498874
Privileged Favorable,0.504149,0.500494,0.508588,0.500902,0.493915,0.50129
Unprivileged Favorable,0.505165,0.508504,0.503348,0.512523,0.50246,0.511061
Unprivileged Unfavorable,0.506825,0.503553,0.511384,0.502129,0.495915,0.498321
Privileged Unfavorable,0.500508,0.499163,0.499099,0.499121,0.499949,0.501535
