,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.500426,0.501068,0.499031,0.499847,0.499997,0.499233
Privileged Favorable,0.500332,0.49851,0.498672,0.502961,0.506101,0.501738
Unprivileged Favorable,0.494336,0.503744,0.497236,0.51489,0.497555,0.499443
Unprivileged Unfavorable,0.503335,0.510085,0.49685,0.489986,0.490183,0.506022
Privileged Unfavorable,0.500085,0.501744,0.500517,0.499279,0.500177,0.4985
