Fairness Metric,orig,syn,syn_target,dir,rew,egr
balanced_accuracy,0.6079582326517876,0.6033785967588718,0.6150794697708833,0.6126174244276871,0.6085494712758394,0.500765176801187
average_odds_difference,0.22649280748371614,0.21390662851598422,0.28190010451958314,0.24953240584207134,0.22030733120178533,0.00396517341311058
disparate_impact,0.7452797479565327,0.6835635443149245,0.8111718385664098,0.6985237021750201,0.7421527848171179,0.6431027888608117
statistical_parity_difference,0.232466510212939,0.21859414455419227,0.2883826589069966,0.2555686671100084,0.2270538991480698,0.003581820066536358
equal_opportunity_difference,0.30774217241331875,0.29295922657293955,0.36406507070143634,0.3305082106469078,0.29920202897487647,0.006060514182867031
theil_index,0.36531266991814676,0.37120875361746347,0.34368671964382974,0.33399385820215394,0.36774861957588806,0.6000736559109233
