,orig,transf,dir,reweigh,eg
0,"[7.793364506791368e-06, 2.1932754397684265e-05, 2.2266755733689624e-07, 5.978623914495657e-05, 0.00011779113783121798, 5.678022712090851e-06, 1.7813404586951682e-06, 8.906702293475843e-06, 9.596971721220219e-05, 2.1264751725673573e-05, 5.132487196615453e-05, 8.561567579603652e-05, 7.682030728122911e-05]","[1.0688042752171015e-05, 2.5272767757737717e-05, 8.68403473613895e-06, 1.5141393898908933e-05, 2.0596749053662888e-05, 2.215542195502117e-05, 5.566688933422405e-07, 6.123357826764644e-06, 2.226675573368961e-06, 5.466488532620795e-05, 1.9372077488309955e-05, 2.338009352037409e-05, 2.0708082832331332e-05]","[1.1133377866844812e-06, 8.016032064128261e-06, 1.1133377866844812e-07, 4.787352482743268e-06, 5.455355154753958e-06, 2.8612781117791146e-05, 1.4473391226898242e-06, 3.45134713872189e-06, 7.904698285459814e-06, 1.0131373858828767e-05, 5.310621242484969e-05, 1.4473391226898247e-05, 2.9948786461812512e-05]","[4.67601870407482e-06, 1.5141393898908938e-05, 8.90670229347585e-07, 6.880427521710085e-05, 0.00011155644622578488, 1.091071030950791e-05, 1.67000668002672e-06, 2.783344466711201e-06, 8.594967713204187e-05, 2.2266755733689604e-05, 3.829881986194612e-05, 0.00011890447561790246, 2.8724114896459593e-05]","[0.0017349142729904544, 0.001336005344021396, 0.0003610554442217805, 0.0014703852148742137, 0.0015837230015587013, 0.0017785571142284943, 0.0013021598753061871, 0.0014722778891115783, 0.0012562903584947863, 0.0011586506346025621, 0.001402026274771788, 0.0018407926965041625, 0.0017491649966600198]"
1,"[9.274103763081705e-05, 4.3531507459363275e-05, 3.3400133600534433e-07, 0.00048563794255177244, 0.0006140057893564935, 0.0008011578712981509, 2.4938766421732385e-05, 0.0001753507014028042, 0.00043954575818303486, 0.0012904698285459743, 0.00029213983522600865, 0.00023124025829436532, 0.000495546648853264]","[5.900690269427744e-06, 8.906702293475847e-06, 0.0, 5.433088399020266e-05, 4.0748162992651985e-05, 1.603206412825652e-05, 4.4533511467379115e-07, 5.010020040080162e-06, 0.0, 5.010020040080162e-05, 7.236695613449123e-06, 1.8815408594967717e-05, 2.7610777109775118e-05]","[0.0006329325317301264, 7.091961701180146e-05, 1.1133377866844812e-07, 0.0041582052994878545, 0.004750946337118702, 0.0002221108884435534, 0.00014484524604765095, 0.00010866176798040466, 0.002202293475840627, 0.0016694500111333985, 0.0001662213315519927, 0.004296147851258069, 0.0044284123803162035]","[9.997773324426608e-05, 4.2752171008684095e-05, 1.1133377866844812e-07, 0.0004875306167891353, 0.0006260298374526855, 0.0008042752171008667, 2.7388109552438237e-05, 0.00017279002449343007, 0.0004460031173458047, 0.0013049432197728722, 0.00030672456023157465, 0.00022211088844355237, 0.0005025606769093757]","[2.1264751725673627e-05, 5.778223112892456e-05, 6.012024048096194e-06, 4.5424181696726984e-05, 4.497884658205317e-05, 1.2914718325539987e-05, 2.248942329102658e-05, 1.1356045424181719e-05, 3.284346470719229e-05, 1.848140725896243e-05, 8.249832999331992e-05, 3.351146737920296e-05, 3.529280783789816e-05]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.4776219104876426e-05, 7.793364506791365e-06, 0.0, 1.5252727677577383e-05, 5.8004898686261403e-05, 3.484747272322423e-05, 0.0, 5.421955021153417e-05, 0.0001029837452683144, 1.736806947227789e-05, 5.54442217768871e-05, 5.243820975283901e-05, 7.993765308394565e-05]","[2.0040080160320645e-06, 1.224671565352929e-06, 0.0, 4.3420173680694715e-06, 4.453351146737925e-07, 1.4250723669561346e-05, 0.0, 9.129369850812736e-06, 0.0, 3.2286795813849913e-06, 1.1133377866844812e-07, 3.228679581384993e-06, 5.566688933422405e-07]","[0.0, 2.2266755733689624e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2266755733689624e-07, 0.0]","[0.00010331774660431971, 0.00010354041416165652, 6.69116009797372e-05, 0.00032464929859719443, 0.0001822533956802489, 0.0002376976174571366, 0.0002134268537074147, 0.00015709196170117992, 6.446225784903128e-05, 0.0001991761300378529, 0.00016510799376530779, 0.0002876864840792697, 0.0002716544199510131]"
3,"[3.1173458027165455e-06, 6.0120240480961935e-06, 0.0, 2.360276107771099e-05, 1.8704074816299273e-05, 1.6366065464261872e-05, 0.0, 1.2580716989534633e-05, 6.680026720106887e-07, 5.1436205744823e-05, 1.647739924293031e-05, 1.491872634157204e-05, 6.680026720106887e-07]","[1.5586729013582723e-06, 1.7813404586951683e-05, 0.0, 3.3288799821865955e-05, 0.0001451792473836562, 0.0001122244488977956, 0.0, 0.00013170786016477402, 0.0001834780672456023, 5.733689601425073e-05, 7.225562235582277e-05, 2.33800935203741e-06, 5.6891560899576935e-05]","[3.2286795813849943e-06, 4.898686261411715e-06, 0.0, 2.67201068804276e-05, 2.7722110888443654e-05, 4.9877532843464925e-05, 0.0, 1.9372077488310016e-05, 0.0, 9.463371186818091e-06, 4.831885994210662e-05, 2.315742596303727e-05, 3.3400133600534433e-07]","[4.564684925406367e-06, 4.230683589401026e-06, 6.680026720106887e-07, 2.7276775773769775e-05, 2.7054108216432874e-05, 1.6032064128256526e-05, 0.0, 1.7924738365620137e-05, 5.566688933422406e-07, 6.479625918503671e-05, 1.4028056112224452e-05, 2.0708082832331345e-05, 1.2246715653529292e-06]","[0.00015720329547984753, 0.00048675128033845655, 0.0001570919617011801, 0.0011228011578713075, 0.00048007125361835184, 0.000344355377421511, 0.00025083500334001303, 0.0002546203518147401, 0.0005444221776887148, 0.0001937207748830979, 0.0006486305945223838, 0.0006271431752393733, 0.00090536628813183]"
4,"[9.797372522823437e-06, 1.1356045424181715e-05, 0.0, 7.459363170786023e-06, 4.920953017145424e-05, 7.147628590514364e-05, 1.0020040080160329e-06, 2.2489423291026577e-05, 9.240703629481192e-06, 9.374304163883298e-05, 5.455355154753955e-06, 5.099087063014939e-05, 4.4533511467379404e-05]","[7.682030728122922e-06, 1.5252727677577402e-05, 1.1133377866844812e-07, 3.3400133600534433e-07, 1.9038076152304656e-05, 2.0930750389668257e-05, 1.0020040080160329e-06, 0.0, 0.0, 4.3308839902026386e-05, 1.1244711645513251e-05, 2.5272767757737734e-05, 1.9928746381652233e-05]","[2.115341794700514e-06, 2.9169450011133383e-05, 0.0, 9.808505900690268e-05, 0.0001884880872856824, 0.00012970385214874187, 2.2266755733689624e-07, 0.000146626586506346, 8.3500334001336e-05, 2.59407704297484e-05, 6.680026720106882e-05, 0.00010008906702293478, 9.474504564684923e-05]","[8.795368514807408e-06, 1.2469383210866196e-05, 0.0, 8.127365842796712e-06, 5.566688933422411e-05, 6.535292807837898e-05, 1.6700066800267218e-06, 1.8815408594967778e-05, 8.350033400133607e-06, 9.318637274549074e-05, 1.2246715653529285e-05, 5.087953685148092e-05, 4.364284123803182e-05]","[1.6700066800267215e-05, 1.0131373858828793e-05, 1.1022044088176371e-05, 3.128479180583397e-05, 3.6851480739256377e-05, 3.852148741928308e-05, 2.404809619238481e-05, 1.848140725896239e-05, 1.4139389890892915e-05, 2.5161433979069273e-05, 2.271209084836344e-05, 2.772211088844362e-05, 6.791360498775313e-05]"
