iter	Passed	Remaining
410	3107	1345
411	3112	1337
412	3119	1329
413	3124	1320
414	3131	1313
415	3137	1304
416	3143	1296
417	3148	1288
418	3154	1279
419	3160	1271
420	3165	1263
421	3172	1255
422	3177	1247
423	3183	1238
424	3189	1230
425	3195	1222
426	3202	1214
427	3208	1207
428	3214	1198
429	3220	1190
430	3225	1182
431	3231	1174
432	3236	1166
433	3242	1158
434	3248	1150
435	3254	1142
436	3260	1134
437	3266	1126
438	3272	1118
439	3279	1110
440	3285	1102
441	3291	1094
442	3297	1086
443	3303	1078
444	3310	1071
445	3317	1063
446	3323	1055
447	3328	1047
448	3335	1039
449	3340	1031
450	3347	1024
451	3354	1016
452	3360	1008
453	3366	1000
454	3371	993
455	3377	985
456	3383	977
457	3389	969
458	3396	961
459	3402	954
460	3408	946
461	3414	938
462	3420	930
463	3426	923
464	3433	915
465	3438	907
466	3444	899
467	3450	892
468	3456	884
469	3462	876
470	3468	868
471	3474	861
472	3479	853
473	3485	845
474	3491	837
475	3497	830
476	3502	822
477	3509	815
478	3516	807
479	3521	799
480	3527	792
481	3534	784
482	3540	776
483	3545	769
484	3551	761
485	3557	753
486	3563	746
487	3568	738
488	3574	731
489	3581	723
490	3587	716
491	3593	708
492	3598	700
493	3604	693
494	3610	685
495	3615	677
496	3624	670
497	3629	663
498	3635	655
499	3642	648
500	3648	640
501	3655	633
502	3660	625
503	3667	618
504	3673	611
505	3679	603
506	3684	595
507	3690	588
508	3697	581
509	3703	573
510	3709	566
511	3716	558
512	3722	551
513	3730	544
514	3736	536
515	3743	529
516	3749	522
517	3755	514
518	3760	507
519	3766	499
520	3772	492
521	3777	484
522	3783	477
523	3789	470
524	3795	462
525	3801	455
526	3807	447
527	3813	440
528	3819	433
529	3824	425
530	3830	418
531	3836	411
532	3842	403
533	3847	396
534	3853	388
535	3859	381
536	3864	374
537	3870	366
538	3876	359
539	3882	352
540	3887	344
541	3894	337
542	3900	330
543	3906	323
544	3912	315
545	3918	308
546	3924	301
547	3929	294
548	3935	286
549	3941	279
550	3947	272
551	3952	264
552	3958	257
553	3965	250
554	3970	243
555	3976	236
556	3981	228
557	3987	221
558	3993	214
559	3998	207
560	4004	199
561	4009	192
562	4015	185
563	4021	178
564	4026	171
565	4032	163
566	4037	156
567	4043	149
568	4049	142
569	4055	135
570	4063	128
571	4070	120
572	4075	113
573	4082	106
574	4089	99
575	4096	92
576	4101	85
577	4107	78
578	4114	71
579	4120	63
580	4126	56
581	4132	49
582	4139	42
583	4144	35
584	4150	28
585	4156	21
586	4161	14
587	4167	7
588	4173	0
