Fairness Metric,orig,syn,syn_target,dir,rew,egr
balanced_accuracy,0.5824481493967988,0.5931696868144313,0.5679059283738762,0.5996723716729535,0.5837285983382093,0.5006806662480473
average_odds_difference,0.26846322110800364,0.28028166558432516,0.20970552481777474,0.31359610683465927,0.22632952560907374,0.0021290269504667726
disparate_impact,0.94039993695135,0.8942951383245727,0.9192242431307815,0.8944413094834184,0.8738674134294472,0.6972581715613075
statistical_parity_difference,0.2677285271951069,0.28010483333725555,0.2095874020639618,0.31258585976890046,0.22771011379913855,0.001933176096259399
equal_opportunity_difference,0.3638708170688912,0.38352321450764154,0.2870773205940825,0.4256670216428451,0.3097472853594741,0.004216108970555572
theil_index,0.42556574337034464,0.4051196838553804,0.4636069601096384,0.38248591319654895,0.42463639224328525,0.6111111618615918
