,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.505269,0.576453,0.518599,0.511569,0.517757,0.523532
Privileged Favorable,0.517177,0.646276,0.553921,0.521334,0.582327,0.557253
Unprivileged Favorable,0.526025,0.750189,0.627348,0.538027,0.595709,0.610191
Unprivileged Unfavorable,0.503169,0.539223,0.507131,0.503474,0.507053,0.50845
Privileged Unfavorable,0.498313,0.560181,0.51359,0.513503,0.512501,0.512127
