,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.499906,0.505027,0.500019,0.500269,0.50135,0.50073
Privileged Favorable,0.506225,0.509701,0.507411,0.507066,0.494409,0.513432
Unprivileged Favorable,0.499319,0.502905,0.499303,0.499783,0.501125,0.501182
Unprivileged Unfavorable,0.502762,0.495105,0.499961,0.496368,0.503804,0.503228
Privileged Unfavorable,0.503579,0.505922,0.5096,0.51478,0.472819,0.493237
