,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.502512,0.50096,0.500556,0.499873,0.498271,0.498208
Privileged Favorable,0.508326,0.502007,0.500023,0.504513,0.502507,0.495029
Unprivileged Favorable,0.613883,0.587145,0.478778,0.575481,0.571065,0.504814
Unprivileged Unfavorable,0.499143,0.493286,0.517028,0.503892,0.499767,0.496497
Privileged Unfavorable,0.498885,0.499614,0.499081,0.496042,0.497086,0.499568
