,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.512687,0.529372,0.514133,0.510032,0.511107,0.514304
Privileged Favorable,0.544826,0.569537,0.547156,0.530924,0.554187,0.558742
Unprivileged Favorable,0.560502,0.766218,0.595519,0.543131,0.532401,0.571404
Unprivileged Unfavorable,0.519678,0.666667,0.535222,0.527198,0.511674,0.52457
Privileged Unfavorable,0.505616,0.507163,0.504034,0.505165,0.505257,0.505846
