,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.500584,0.514605,0.504813,0.502923,0.501025,0.508049
Privileged Favorable,0.508527,0.518995,0.506443,0.50185,0.517146,0.539757
Unprivileged Favorable,0.518401,0.658629,0.53528,0.512463,0.503707,0.552399
Unprivileged Unfavorable,0.504272,0.633905,0.513871,0.503164,0.503086,0.514893
Privileged Unfavorable,0.499018,0.503649,0.502127,0.502721,0.498408,0.502353
