,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.496415,0.504221,0.502672,0.497633,0.499726,0.499598
Privileged Favorable,0.502662,0.519858,0.494405,0.498624,0.477927,0.499305
Unprivileged Favorable,0.492802,0.500232,0.499203,0.497346,0.500227,0.497595
Unprivileged Unfavorable,0.500946,0.504962,0.506588,0.499471,0.503861,0.50007
Privileged Unfavorable,0.493331,0.507806,0.504187,0.487432,0.503084,0.511971
