,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.537703,0.534871,0.53537,0.535343,0.535572,0.50388
Privileged Favorable,0.577305,0.566614,0.563889,0.565695,0.539743,0.507865
Unprivileged Favorable,0.517498,0.512174,0.514628,0.513368,0.51616,0.499491
Unprivileged Unfavorable,0.782479,0.787144,0.777567,0.779712,0.79347,0.584928
Privileged Unfavorable,0.862037,0.840003,0.829879,0.828344,0.709965,0.572933
