,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.537872,0.530416,0.531464,0.537887,0.537975,0.504498
Privileged Favorable,0.513112,0.513543,0.513906,0.519199,0.515935,0.49733
Unprivileged Favorable,0.522864,0.518563,0.519941,0.515991,0.523913,0.503648
Unprivileged Unfavorable,0.791347,0.739849,0.753415,0.790182,0.760669,0.570188
Privileged Unfavorable,0.80688,0.734606,0.755095,0.813872,0.813495,0.577606
