,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.499139,0.504439,0.506696,0.498976,0.500527,0.500489
Privileged Favorable,0.496416,0.495691,0.507859,0.491295,0.492811,0.492972
Unprivileged Favorable,0.503638,0.500279,0.502661,0.498891,0.505731,0.507523
Unprivileged Unfavorable,0.500331,0.508527,0.505954,0.496919,0.491095,0.493561
Privileged Unfavorable,0.502742,0.502307,0.510781,0.503362,0.498209,0.503862
