,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.501516,0.501583,0.500535,0.502695,0.502313,0.500693
Privileged Favorable,0.503676,0.498208,0.504061,0.505781,0.502774,0.500037
Unprivileged Favorable,0.509334,0.502927,0.496561,0.498003,0.494931,0.497961
Unprivileged Unfavorable,0.493634,0.495013,0.49308,0.501425,0.516705,0.497701
Privileged Unfavorable,0.500851,0.504064,0.501042,0.501855,0.500469,0.500597
