,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.500798,0.500084,0.497206,0.500019,0.501602,0.500225
Privileged Favorable,0.503203,0.498747,0.495197,0.498821,0.501428,0.499695
Unprivileged Favorable,0.494404,0.497119,0.499122,0.50039,0.502342,0.499274
Unprivileged Unfavorable,0.506435,0.511998,0.499546,0.498257,0.495611,0.491378
Privileged Unfavorable,0.48743,0.5222,0.489559,0.500782,0.514254,0.504878
