,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.562461,0.556738,0.564198,0.559644,0.553259,0.514552
Privileged Favorable,0.580433,0.579281,0.591223,0.588868,0.563186,0.528247
Unprivileged Favorable,0.559198,0.555028,0.56206,0.557218,0.556126,0.510108
Unprivileged Unfavorable,0.559958,0.551609,0.556993,0.551504,0.559647,0.513433
Privileged Unfavorable,0.554713,0.555497,0.554655,0.554991,0.548376,0.517512
