,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.503834,0.501466,0.500023,0.498089,0.501629,0.497798
Privileged Favorable,0.497534,0.501234,0.500998,0.490183,0.508055,0.493519
Unprivileged Favorable,0.503099,0.500187,0.498668,0.500277,0.50245,0.499059
Unprivileged Unfavorable,0.522855,0.513563,0.512418,0.491781,0.490608,0.495619
Privileged Unfavorable,0.540244,0.508088,0.527367,0.499817,0.477458,0.504634
