,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.500259,0.49988,0.502005,0.496083,0.502445,0.499333
Privileged Favorable,0.499232,0.499536,0.505386,0.488862,0.498972,0.504331
Unprivileged Favorable,0.507623,0.496855,0.505751,0.502237,0.497845,0.495856
Unprivileged Unfavorable,0.49928,0.498692,0.502618,0.497306,0.507595,0.501514
Privileged Unfavorable,0.501094,0.500067,0.497429,0.496333,0.504491,0.497751
