,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.502752,0.488408,0.494989,0.510564,0.508986,0.507931
Privileged Favorable,0.498841,0.487713,0.490294,0.513651,0.509983,0.507784
Unprivileged Favorable,0.501903,0.477621,0.514577,0.505257,0.489568,0.506239
Unprivileged Unfavorable,0.524409,0.489246,0.454019,0.474313,0.525853,0.508764
Privileged Unfavorable,0.511687,0.505134,0.495629,0.522149,0.503752,0.494203
