,orig,syn,syn_target,dir,rew,egr
Overall MIA,0.499685,0.499638,0.500708,0.501198,0.499859,0.501038
Privileged Favorable,0.503033,0.501377,0.497139,0.502126,0.499304,0.500002
Unprivileged Favorable,0.496803,0.497156,0.504704,0.499142,0.492042,0.50128
Unprivileged Unfavorable,0.49945,0.497076,0.500965,0.498962,0.496333,0.502674
Privileged Unfavorable,0.497436,0.497821,0.504685,0.502083,0.501737,0.500136
